student_id,course_code,semester,continuous_assessment_score,exam_score,final_grade,pass_fail_status,credit_weight
STD1024,MAT110,1,34,96,65.0,Pass,4
STD1024,ENG101,1,70,53,61.5,Pass,5
STD1024,CSC102,2,47,55,51.0,Pass,4
STD1025,PHY111,2,90,41,65.5,Pass,4
STD1025,CSC102,1,51,48,49.5,Fail,3
STD1025,CSC101,1,57,44,50.5,Pass,3
STD1026,CSC101,2,63,59,61.0,Pass,5
STD1026,CSC102,1,98,70,84.0,Pass,5
STD1026,ENG101,2,33,84,58.5,Pass,5
STD1027,CSC102,1,46,54,50.0,Pass,4
STD1027,MAT110,1,87,70,78.5,Pass,5
STD1027,PHY111,1,61,57,59.0,Pass,4
STD1028,ENG101,1,70,81,75.5,Pass,3
STD1028,CSC102,2,53,33,43.0,Fail,3
STD1028,PHY111,2,42,34,38.0,Fail,3
STD1029,CSC101,1,98,79,88.5,Pass,5
STD1029,MAT110,2,81,86,83.5,Pass,4
STD1029,CSC102,2,58,32,45.0,Fail,4
STD1030,ENG101,1,96,34,65.0,Pass,4
STD1030,PHY111,1,84,68,76.0,Pass,4
STD1030,CSC101,1,73,39,56.0,Pass,3
STD1031,PHY111,1,47,77,62.0,Pass,3
STD1031,ENG101,1,82,43,62.5,Pass,4
STD1031,MAT110,1,45,53,49.0,Fail,4
STD1032,CSC101,1,72,44,58.0,Pass,4
STD1032,MAT110,2,76,39,57.5,Pass,5
STD1032,CSC102,1,84,73,78.5,Pass,3
STD1033,CSC101,2,33,34,33.5,Fail,3
STD1033,PHY111,2,56,69,62.5,Pass,3
STD1033,ENG101,1,82,43,62.5,Pass,5
STD1034,PHY111,1,93,92,92.5,Pass,3
STD1034,MAT110,2,72,59,65.5,Pass,5
STD1034,CSC102,1,59,33,46.0,Fail,3
STD1035,ENG101,2,33,95,64.0,Pass,3
STD1035,MAT110,2,66,98,82.0,Pass,5
STD1035,CSC102,2,67,80,73.5,Pass,5
STD1036,CSC101,2,54,52,53.0,Pass,3
STD1036,PHY111,1,54,82,68.0,Pass,5
STD1036,ENG101,2,35,69,52.0,Pass,4
STD1037,CSC101,2,34,65,49.5,Fail,4
STD1037,ENG101,1,96,44,70.0,Pass,5
STD1037,PHY111,2,46,94,70.0,Pass,4
STD1038,ENG101,2,43,92,67.5,Pass,4
STD1038,MAT110,2,71,99,85.0,Pass,4
STD1038,CSC101,2,98,94,96.0,Pass,4
STD1039,PHY111,1,89,53,71.0,Pass,3
STD1039,ENG101,2,84,65,74.5,Pass,4
STD1039,MAT110,1,38,86,62.0,Pass,3
